관리번호,자치구,AP별 이용량(GB)
WF181037,성동구,13990.4252497 
WF181190,은평구,12011.0473881 
WF191009,은평구,10940.3177235 
WF181038,성동구,10244.1184965 
WF181035,성동구,9946.6308565 
WF191010,은평구,9687.8478544 
WF190048,강남구,9396.7576317 
WF190888,영등포구,7983.7088940 
WF190785,성북구,7752.2146751 
WF181034,성동구,7723.7343667 
WF181186,은평구,7501.5493474 
WF200006,은평구,6400.8552280 
WF171744,금천구,5957.3649655 
WF110078,중구,5951.9197826 
WF190937,용산구,5936.4251514 
GN070059,강남구,5799.2502935 
WF200005,은평구,5798.4618500 
WF190739,서초구,5769.6120897 
WF190896,영등포구,5700.4567280 
WF181184,은평구,5684.5369891 
WN000686,도봉구,5383.2394631 
WF200177,은평구,5160.5430137 
WF110123,중구,5040.9513970 
WF181189,은평구,4908.8536013 
GN070065,강남구,4905.3778274 
WF191006,은평구,4753.5364840 
EP110031,은평구,4695.2632777 
WF190296,구로구,4688.2481170 
WF200174,은평구,4561.1837790 
WF170035,중구,4523.7127338 
WF200176,은평구,4210.2791051 
WF200175,은평구,4176.4422152 
GR140042,구로구,4093.3137050 
SC000010,서초구,4029.1045486 
SC000002,서초구,3975.6857477 
WF200173,은평구,3904.1313814 
WF190688,서대문구,3762.8873267 
SC000066,서초구,3711.4295550 
GS090033,강서구,3682.6544184 
WF190940,용산구,3504.0333339 
WF190689,서대문구,3423.3229956 
GS010077,강서구,3415.6506770 
WF190201,관악구,3399.7490020 
WF181185,은평구,3355.9703239 
GN070031,강남구,3311.1632851 
WF191008,은평구,3247.4667266 
GN140018,강남구,3205.2558844 
GR030042,구로구,3179.8787623 
WF191011,은평구,3171.7582929 
WF201103,강동구,3155.4433001 
WF181187,은평구,3044.8474084 
WF190956,용산구,3043.9205114 
WF190200,관악구,3014.5531539 
WF191012,은평구,2993.7659153 
WF200134,서초구,2849.8649331 
WF191007,은평구,2841.9670140 
WF160056,마포구,2839.3844258 
WF160044,마포구,2806.4291692 
WF205025,은평구,2759.4264443 
WF200095,은평구,2725.0374060 
SB070001,성북구,2715.9588942 
DDM000015,동대문구,2687.6385714 
WF190942,용산구,2665.2734329 
WN190004,도봉구,2649.0927446 
YC060008,양천구,2641.7202699 
WF160018,마포구,2641.4628748 
YC170032,양천구,2571.3203529 
WF191119,중구,2570.9004016 
WF110178,중구,2560.7120400 
GN070029,강남구,2548.5358867 
YC170029,양천구,2545.2502497 
YC170031,양천구,2542.8400883 
GR050020,구로구,2519.3246640 
WF191161,중구,2513.7955977 
WF181311,관악구,2484.5783455 
WF120219,은평구,2480.1055138 
WF181039,성동구,2449.7217949 
WF171949,관악구,2416.2792343 
WF190736,동작구,2408.6432933 
WF190949,용산구,2357.1736553 
NW120018,노원구,2343.1121354 
YC170023,양천구,2337.7047200 
WF190979,은평구,2315.2107718 
WF180007,중구,2313.6345353 
WF121361,동대문구,2301.2804782 
WF190929,용산구,2295.3785838 
GS120021,강서구,2294.2256284 
YS000044,용산구,2291.7502593 
WF190112,강북구,2275.4312530 
WF120402,중구,2271.9561325 
NW160012,노원구,2258.5582598 
YC180008,양천구,2236.7321062 
DDM000046,동대문구,2236.7282137 
WF120271,종로구,2217.2424009 
WF190308,구로구,2151.3710599 
WF200099,은평구,2147.3981524 
WF171746,금천구,2144.2393327 
YC150020,양천구,2116.8441314 
WF190941,용산구,2112.9226627 
WF141765,도봉구,2094.2955503 
WN000642,도봉구,2067.5033619 
NW080005,노원구,2064.9146425 
SC000046,서초구,2062.7365838 
WF171367,도봉구,2056.8545873 
YC130006,양천구,2052.2633315 
WF110116,중구,2033.1658378 
WF190338,금천구,2007.6718853 
WF190740,서초구,2007.4352830 
NW020014,노원구,1984.3057792 
WF160078,마포구,1965.5552995 
WF160032,마포구,1965.4019258 
EP000058,은평구,1964.5196929 
GS100022,강서구,1961.9717636 
WF120183,성동구,1944.8546620 
NW110001,노원구,1938.8271462 
WF190309,구로구,1935.7717869 
YS000053,용산구,1935.1180163 
WF190799,성북구,1920.8593357 
NW140002,노원구,1918.3890804 
GR060010,구로구,1897.5774914 
WF191137,중구,1895.9932230 
WF190895,영등포구,1882.8591576 
YC120033,양천구,1866.4460069 
WF190093,강북구,1858.1755543 
WF120414,중구,1840.5107454 
SC000045,서초구,1836.1393989 
WF190396,노원구,1819.8898911 
YC150003,양천구,1808.1051727 
WF160076,마포구,1798.9828052 
WF191077,종로구,1796.0670382 
DDM000038,동대문구,1785.5343582 
WF181188,은평구,1785.4392032 
WF171636,강서구,1785.0142921 
SD000080,성동구,1753.0672767 
NW160035,노원구,1750.4352403 
YS000054,용산구,1749.1695510 
WF190297,구로구,1721.3329355 
WF205005,중구,1718.6202812 
WF160046,마포구,1716.7934927 
WF140046,은평구,1715.8438595 
YS000049,용산구,1712.2337774 
WF141579,구로구,1711.3767435 
WF120222,은평구,1710.2234496 
WN000697,도봉구,1708.0211315 
WF190295,구로구,1703.2976074 
GS180038,강서구,1702.9367022 
WF205131,중구,1701.5094554 
WF191027,은평구,1699.1058683 
DDM000016,동대문구,1698.9342093 
WN003906,성동구,1687.6258413 
WF200096,은평구,1675.9980823 
GN090003,강남구,1662.2610781 
EP000008,은평구,1658.4606162 
WF161246,관악구,1655.5986189 
WF190905,영등포구,1653.1184893 
WF121269,구로구,1639.2034189 
WF170006,중구,1635.2906539 
WF190639,마포구,1635.1904549 
DDM000037,동대문구,1633.2245561 
YC170103,양천구,1627.7115748 
WF190630,마포구,1627.6225349 
WF200064,중구,1618.9194819 
YC170054,양천구,1607.7274395 
GS080031,강서구,1605.3115956 
WF120218,은평구,1604.7332949 
NW120017,노원구,1601.5001537 
WF160074,마포구,1600.8098254 
GS070003,강서구,1600.6824141 
YS000059,용산구,1599.1500991 
NW160031,노원구,1598.7927331 
DB120002,도봉구,1586.0106839 
