구분,버스명,AP별 이용량(GB)
마을버스,성서교통_노원01_서울70사6805,1463.83899264 
마을버스,청화운수_서초09_서울70사9239,1148.91100675 
마을버스,청화운수_서초09_서울71사2907,1129.97753546 
마을버스,목동운수_양천02_서울75사5200,1097.22912312 
마을버스,은곡운수_강남06-2_서울70사9440,950.14904626 
마을버스,인헌운수_관악02_서울70사9037,933.27349983 
마을버스,목동운수_양천02_서울75사5128,858.96893404 
마을버스,목동운수_양천01_서울70사8022,823.11028615 
마을버스,인헌운수_관악02_서울75사5007,783.32860954 
마을버스,목동운수_양천01_서울75사5133,776.08630061 
마을버스,목동운수_양천01_서울75사5132,750.44739060 
마을버스,목동운수_양천02_서울70사7934,745.44988573 
마을버스,성서교통_노원11_서울75사3578,737.89575137 
마을버스,염동운수_강서07_서울75사8125,736.35345325 
마을버스,목동운수_양천01_서울75사5129,734.90081355 
마을버스,목동운수_양천01_서울70사8030,717.34631434 
마을버스,대운교통_강서05_서울71사2254,703.25506851 
마을버스,번창운수_노원15_서울75사3553,689.30456415 
마을버스,인헌운수_관악02_서울70사8907,689.11029026 
마을버스,일원교통_강남01_서울75사3379,680.43005653 
마을버스,삼하운수_서대문11_서울70사7286,677.77356133 
마을버스,인헌운수_관악02_서울70사8909,676.15850829 
마을버스,번창운수_노원15_서울75사3643,676.05480552 
마을버스,목동운수_양천01_서울75사5156,665.75665027 
마을버스,목동운수_양천01_서울75사5198,652.88128331 
마을버스,서북운수_서대문05_서울70사7210,650.87811090 
마을버스,인헌운수_관악02_서울70사8985,640.02526924 
마을버스,목동운수_양천02_서울75사5201,638.60113733 
마을버스,목동운수_양천02_서울75사5131,626.99707225 
마을버스,합성마을_동작06_서울75사8710,625.77459961 
마을버스,목동운수_양천01_서울70사8029,625.66436827 
마을버스,미봉운수_강북05_서울75사3196,620.77819370 
마을버스,인헌운수_관악02_서울70사8906,614.87420462 
마을버스,인헌운수_관악02_서울70사8908,614.61657286 
마을버스,인헌운수_관악02_서울70사8905,612.61053197 
마을버스,인헌운수_관악02_서울70사9038,603.70940715 
마을버스,삼하운수_서대문11_서울71사2381,595.45367025 
마을버스,인헌운수_관악02_서울70사8904,592.10370295 
마을버스,청암운수_서초18-1_서울70사9135,588.33557181 
마을버스,은곡운수_강남06_서울75사4010,584.86175723 
마을버스,구의교통_광진03_서울75사3348,583.96728709 
마을버스,신목교통_양천03_서울70사8014,577.69262232 
마을버스,일원교통_강남01_서울70사9315,577.05114596 
마을버스,목동운수_양천02_서울75사5376,571.85241953 
마을버스,목동운수_양천02_서울75사5202,571.79632597 
마을버스,우리교통_양천04_서울70사7907,563.40320036 
마을버스,목동운수_양천01_서울75사5199,556.06042035 
마을버스,사당3동_동작16_서울70사3033,555.38946763 
마을버스,아리랑교통_성북01_서울75사6415,550.75122043 
마을버스,정암운수_마포10_서울75사7742,549.44817908 
마을버스,삼하운수_서대문11_서울70사7215,544.20294240 
마을버스,흑석운수_동작01_서울75사5504,537.44940087 
마을버스,미봉운수_강북05_서울75사3115,531.82903677 
마을버스,사당3동_동작18_서울75사8723,524.89025518 
마을버스,오렌지교통_노원02_서울70사6903,522.69591950 
마을버스,선흥상운_서초21_서울75사9113,522.03235216 
마을버스,상도3동_동작11_서울75사8744,521.58489823 
마을버스,청암운수_서초18_서울75사9306 ,518.29259843 
마을버스,신목교통_양천03_서울75사8302,517.01653749 
마을버스,삼하운수_서대문11_서울75사5386,516.62805490 
마을버스,신목교통_양천03_서울75사5064,513.66033964 
마을버스,은곡운수_강남06-2_서울70사9449,510.93649305 
마을버스,신목교통_양천03_서울70사8013,509.18353256 
마을버스,신목교통_양천03_서울75사5049,509.00137331 
마을버스,신목교통_양천03_서울75사5048,505.12811262 
마을버스,번창운수_노원15_서울75사3129,496.23254407 
마을버스,번창운수_노원15_서울70사6614,495.76623552 
마을버스,신목교통_양천03_서울75사5045,492.41210893 
마을버스,삼하운수_서대문11_서울70사7285,489.86352514 
마을버스,은곡운수_강남06_서울70사9439,484.97497570 
마을버스,마포운수_마포15_서울75사5240,484.70672593 
마을버스,번창운수_노원15_서울75사3644,484.41973887 
마을버스,구의교통_광진03_서울75사3576,480.86517304 
마을버스,복지운수_강북09_서울75사3337,478.80392428 
마을버스,성서교통_노원11_서울75사3157,478.46392822 
마을버스,번창운수_노원15_서울75사3638,476.40570067 
마을버스,청암운수_서초18_서울71사2919,471.35617025 
마을버스,번창운수_노원15_서울70사6615,469.69137527 
마을버스,번창운수_노원14_서울70사6821,467.96225011 
마을버스,신목교통_양천03_서울75사5047,467.30358899 
마을버스,번창운수_노원15_서울70사6840,466.40496794 
마을버스,은곡운수_강남06-1_서울75사3290,465.61956778 
마을버스,번창운수_노원15_서울75사3122,464.25558440 
마을버스,신목교통_양천03_서울70사8028,462.19592262 
마을버스,구민버스_서초18_서울75사9115,459.86315887 
마을버스,번창운수_노원15_서울75사3132,458.92883278 
마을버스,복지운수_강북09_서울75사3662,452.26153545 
마을버스,번창운수_노원15_서울75사3119,450.86468477 
마을버스,청화운수_서초09_서울70사9130,450.39147977 
마을버스,구민버스_서초18_서울75사3460,449.74182174 
마을버스,연일교통_서대문03_서울70사7306,448.24060053 
마을버스,번창운수_노원15_서울70사6823,446.86755352 
마을버스,흑석운수_동작21_서울75사5502,446.29901089 
마을버스,번창운수_노원15_서울75사3120,446.15719561 
마을버스,번창운수_노원15_서울75사3637,445.56561299 
마을버스,합정운수_마포16_서울75사5392,445.36193833 
마을버스,개포운수_강남05_서울70사9307,444.80770919 
마을버스,개포운수_강남05_서울70사9309,444.33609024 
마을버스,연일교통_서대문03_서울75사7211,444.02676355 
마을버스,노들운수_동작03_서울75사8826,443.49572714 
마을버스,강동교통_강동05_서울75사9733,442.08801258 
마을버스,연일교통_서대문03_서울75사5182,441.09793101 
마을버스,번창운수_노원14_서울75사3641,440.33373985 
마을버스,은곡운수_강남06_서울75사4011,439.70843498 
마을버스,구민버스_서초18_서울75사9114,439.00311273 
마을버스,온누리운수_마포06_서울70사7750,438.99243139 
마을버스,온누리운수_마포06_서울74사1445,436.62777729 
마을버스,구민버스_서초18_서울75사3461,436.33831758 
마을버스,은곡운수_강남06_서울71사3291,435.03829930 
마을버스,나경운수_종로05_서울70사5522,432.67452996 
마을버스,온누리운수_마포06_서울75사5186,431.84558116 
마을버스,갈현운수_은평09_서울70사7130,431.55071978 
마을버스,인헌운수_관악05_서울70사9082,430.14303595 
마을버스,연일교통_서대문03_서울75사7210,429.64376789 
마을버스,번창운수_노원15_서울70사6811,428.11608873 
마을버스,번창운수_노원15_서울70사6613,426.89419538 
마을버스,연일교통_서대문03_서울75사7209,426.49154644 
마을버스,은곡운수_강남06_서울75사3274,424.29217510 
마을버스,우리운송_동대문01_서울75사6120,423.46987873 
마을버스,은곡운수_강남06_서울70사9316,423.07019047 
마을버스,세광운수_관악08_서울70사9004,422.85314947 
마을버스,태화운수_서대문12_서울75사5300,421.02017254 
마을버스,미봉운수_강북06_서울75사3652,420.84347550 
마을버스,복지운수_강북11_서울71사1221,419.73962449 
마을버스,온누리운수_마포06_서울75사5203,418.79168712 
마을버스,영운교통_은평06_서울75사5398,417.42471326 
마을버스,은곡운수_강남06_서울75사3237,416.04537982 
마을버스,오렌지교통_노원02_서울75사6815,416.03588872 
마을버스,충정운수_서대문02_서울70사7209,416.02050792 
마을버스,구민버스_서초18_서울75사1684,416.00961331 
마을버스,삼하운수_서대문11_서울70사7236,415.98669440 
마을버스,번창운수_노원14_서울75사3642,415.25991820 
마을버스,구의교통_광진03_서울75사3322,415.24139419 
마을버스,청암운수_서초18-1_서울75사6221,414.18252606 
마을버스,온누리운수_마포06_서울75사5161,413.99124172 
마을버스,청암운수_서초18_서울75사9713,413.41705341 
마을버스,사당3동_동작07_서울75사3032,412.95355186 
마을버스,범일운수_금천01_서울75사5018,412.27868665 
마을버스,태화운수_서대문12_서울70사7226,410.89370754 
마을버스,미봉운수_강북05_서울75사3314,407.91394003 
마을버스,미봉운수_강북05_서울71사1294,407.33999666 
마을버스,온누리운수_마포06_서울75사5185,405.96188325 
마을버스,복지운수_강북09_서울75사3251,405.72555549 
마을버스,형일교통_영등포01_서울75사5247,405.70330806 
마을버스,온누리운수_마포06_서울70사7751,403.52166723 
마을버스,은곡운수_강남06_서울75사3625,402.04840060 
마을버스,신림운수_관악08_서울70사8918,399.13159143 
마을버스,복지운수_강북11_서울71사1292,398.29708822 
마을버스,복지운수_강북11_서울71사1215,398.24700914 
마을버스,복지운수_강북09_서울75사3336,395.86361684 
마을버스,아리랑교통_성북01_서울75사3357,393.84533651 
마을버스,청화운수_서초09_서울75사3364,393.79840065 
마을버스,오렌지교통_노원02_서울75사6818,393.71765126 
마을버스,길음운수_성북08_서울75사3558,393.58105510 
마을버스,경성운수_금천05_서울70사5937,393.44201703 
마을버스,복지운수_강북11_서울71사1300,392.59951748 
마을버스,청암운수_서초18_서울70사9293,392.31720008 
마을버스,미봉운수_강북05_서울71사1222,392.25857519 
마을버스,청암운수_서초18_서울75사9305,390.52890055 
마을버스,은곡운수_강남06_서울75사3229,390.04489128 
마을버스,온누리운수_마포06_서울75사5159,387.78552227 
마을버스,노들운수_동작03_서울75사8810,387.53436320 
마을버스,복지운수_강북09_서울75사3661,386.53390482 
마을버스,서초교통_서초10_서울70사9244,386.30645722 
마을버스,아리랑교통_성북01_서울75사3090,386.26977522 
마을버스,번창운수_노원14_서울70사6859,385.73297113 
마을버스,청화운수_서초09_서울70사9249,385.22128295 
마을버스,흑석운수_동작01_서울75사8775,383.58914200 
마을버스,복지운수_강북11_서울75사3195,382.99435470 
마을버스,인헌운수_관악05_서울70사9081,382.52050802 
마을버스,오렌지교통_노원02_서울70사6888,381.64575212 
마을버스,오렌지교통_노원02_서울75사6816,381.14212081 
마을버스,청록운수_도봉02_서울75사3341,380.69653325 
마을버스,세광운수_관악08_서울75사5319,380.07559162 
마을버스,보라매운수_동작05_서울75사8713,378.30920424 
마을버스,복지운수_강북11_서울75사3197,376.15240458 
마을버스,청진운수_서초13_서울70사3261,375.65258797 
마을버스,길음운수_성북08_서울75사3037,375.34960918 
마을버스,구민버스_서초18_서울75사3264,374.70996100 
마을버스,개포운수_강남05_서울70사9363,373.20797704 
마을버스,흑석운수_동작01_서울75사3597,373.14410415 
마을버스,대운교통_강서05-1_서울71사2508,372.85778765 
마을버스,복지운수_강북11_서울75사3312,372.70315550 
마을버스,청암운수_서초18_서울75사9103,372.69262690 
마을버스,번창운수_노원14_서울75사3323,372.30255082 
마을버스,미봉운수_강북06_서울75사3660,372.09762540 
마을버스,구민버스_서초18_서울75사3462,371.89535517 
마을버스,오렌지교통_노원02_서울70사6893,371.41815200 
마을버스,개포운수_강남05_서울75사9302,371.13906816 
마을버스,은곡운수_강남06_서울75사3256,370.72241213 
마을버스,정암운수_마포09_서울70사7715,370.59020996 
마을버스,범일운수_금천01_서울71사1594,368.93267836 
마을버스,염동운수_강서06_서울70사8167,368.64575185 
마을버스,청진운수_서초13_서울75사3162,368.28887928 
마을버스,인헌운수_관악05_서울75사8907,367.63732880 
마을버스,오봉운수_구로01_서울75사8309,367.47201532 
마을버스,오렌지교통_노원02_서울75사3045,366.63040146 
마을버스,경성운수_금천07_서울71사1415,366.29626434 
마을버스,미봉운수_강북05_서울75사3659,365.67355320 
마을버스,청화운수_서초09_서울70사9131,365.37841801 
마을버스,은곡운수_강남06_서울75사3238,364.31002803 
마을버스,청화운수_서초09_서울75사3363,364.23406936 
마을버스,신림운수_관악08_서울75사5000,363.41378745 
마을버스,상도3동_동작11_서울75사8746,362.03247029 
마을버스,청화운수_서초09_서울70사9238,361.97051965 
마을버스,흑석운수_동작01_서울75사5506,361.92086805 
마을버스,복지운수_강북11_서울71사1299,361.83734145 
마을버스,인헌운수_관악05_서울75사5154,361.37228366 
마을버스,상도3동_동작02_서울75사3299,359.90686063 
마을버스,한빛운수_광진05_서울75사5138,358.07461571 
마을버스,인헌운수_관악05_서울70사9083,357.67443851 
마을버스,구민버스_서초18_서울71사2920,357.37405438 
마을버스,연일교통_서대문03_서울70사7313,357.17358440 
마을버스,은곡운수_강남06-1_서울75사3626,357.00073279 
마을버스,구민버스_서초18-1_서울70사9111,356.96417280 
