구분,버스명,AP별 이용량(단위 : GB)
시내버스,진화운수_3422_서울74사3085,1668.88440028 
시내버스,우신버스_502_서울70사8939,1569.60900873 
시내버스,선진운수_7212_서울74사4512,1418.35193150 
시내버스,흥안운수_1139_서울74사9631,1336.09484881 
시내버스,아진교통_1127_서울74사6452,1232.87182301 
시내버스,한성운수_504_서울74사8942,1122.73938023 
시내버스,흥안운수_146_서울75사6803,1033.60144421 
시내버스,한남여객운수_501_서울74사3720,1031.37890808 
시내버스,성원여객_1164_서울70사6429,1025.28637275 
시내버스,삼양교통_130_서울74사3235,988.06109279 
시내버스,메트로버스_273_서울71사1831,974.83587451 
시내버스,김포교통_654_서울74사5455,972.28973173 
시내버스,한국비알티_140_서울74사3891,953.50812189 
시내버스,관악교통_6515_서울74사4637,942.04474241 
시내버스,경성여객_271_서울74사1225,926.35919340 
시내버스,진화운수_402_서울70사9524,917.93438420 
시내버스,중부운수_603_서울74사9656,916.21984728 
시내버스,삼양교통_130_서울74사3248,915.81029817 
시내버스,동아운수_101_서울71사1223,913.51507232 
시내버스,동아운수_152_서울74사4010,913.04602101 
시내버스,서울승합_340_서울74사9082,903.83410454 
시내버스,신인운수_571_서울74사7867,896.66968212 
시내버스,동성교통_302_서울74사2040,896.02032676 
시내버스,양천운수_6627_서울74사9590,895.53973638 
시내버스,삼화상운_1224_서울74사3503,891.84552431 
시내버스,삼양교통_130_서울74사3254,886.05615310 
시내버스,서울승합_340_서울70사9571,878.54846381 
시내버스,신인운수_571_서울74사5513,868.94671433 
시내버스,양천운수_6714_서울74사5276,859.05975662 
시내버스,서울승합_340_서울74사4216,850.22918880 
시내버스,동아운수_151_서울71사1243,847.06603549 
시내버스,서울승합_340_서울74사9531,841.43450484 
시내버스,메트로버스_273_서울74사9747,840.21899849 
시내버스,한국비알티_140_서울71사1864,839.98833783 
시내버스,동아운수_153_서울74사4017,832.81286992 
시내버스,성원여객_1164_서울70사6428,831.59063943 
시내버스,서울교통네트웍_160_서울70사6735,828.83588038 
시내버스,동해운수_700_서울74사2458,828.26501690 
시내버스,메트로버스_260_서울75사3072,822.91534171 
시내버스,대원여객_370_서울74사1571,820.34277730 
시내버스,양천운수_6714_서울74사8997,818.29235889 
시내버스,동아운수_153_서울74사4060,817.72455014 
시내버스,대원여객_111_서울75사1389,817.24114716 
시내버스,동해운수_700_서울70사7289,816.85589626 
시내버스,서울승합_340_서울74사5059,815.44390880 
시내버스,서울승합_340_서울74사5042,812.86731176 
시내버스,남성교통_320_서울74사5680,810.30468456 
시내버스,한국비알티_140_서울74사3487,809.36212093 
시내버스,한국비알티_140_서울74사3884,809.02135931 
시내버스,중부운수_640_서울70사7963,808.71331505 
시내버스,동아운수_153_서울74사4030,803.83886583 
시내버스,서울승합_340_서울70사9701,803.78821120 
시내버스,동아운수_153_서울74사4004,802.35620029 
시내버스,서울승합_340_서울74사5058,799.89696853 
시내버스,서울승합_340_서울74사9551,799.54278655 
시내버스,진아교통_1132_서울70사6881,797.99585044 
시내버스,삼양교통_130_서울74사3257,797.97491431 
시내버스,서울승합_340_서울70사9576,797.52496444 
시내버스,대원여객_107_서울74사1566,796.77630216 
시내버스,동아운수_153_서울74사3860,796.60589807 
시내버스,양천운수_6714_서울74사8999,795.78356817 
시내버스,태릉교통_1155_서울74사1726,795.33722252 
시내버스,흥안운수_146_서울74사1862,795.11767253 
시내버스,송파상운_370_서울74사4975,792.02984460 
시내버스,메트로버스_273_서울74사4251,789.86084089 
시내버스,한국비알티_140_서울74사3888,789.29211013 
시내버스,동아운수_153_서울71사1258,789.26574439 
시내버스,다모아자동차_470_서울70사6588,788.90289180 
시내버스,동해운수_700_서울74사3638,788.03528100 
시내버스,한성여객운수_1154_서울74사6328,785.10100953 
시내버스,한국비알티_140_서울74사7906,783.59735198 
시내버스,동아운수_153_서울75사2901,782.80083835 
시내버스,송파상운_370_서울74사3050,782.50262886 
시내버스,삼양교통_130_서울74사3268,782.17913397 
시내버스,신수교통_761_서울74사5328,781.71832487 
시내버스,중부운수_603_서울70사7984,778.69744971 
시내버스,삼양교통_130_서울75사3088,777.08966099 
시내버스,신인운수_571_서울74사7883,775.99157579 
시내버스,서울승합_3321_서울74사6360,775.76928772 
시내버스,동아운수_153_서울74사2144,775.50957911 
시내버스,아진교통_141_서울74사6534,775.48522502 
시내버스,서부운수_721_서울74사4171,775.48034489 
시내버스,동성교통_9401_서울74사7376,775.26495792 
시내버스,관악교통_643_서울74사4639,774.25048687 
시내버스,동아운수_153_서울74사1654,774.14776199 
시내버스,대원여객_341_서울70사6400,772.66821638 
시내버스,중부운수_603_서울74사4104,772.63275161 
시내버스,동아운수_152_서울74사2114,772.46039174 
시내버스,한국비알티_140_서울71사1865,771.76514082 
시내버스,서울승합_340_서울74사4218,769.98455450 
시내버스,서울승합_340_서울74사8796,769.17968690 
시내버스,태릉교통_1155_서울74사1719,768.22168194 
시내버스,한국비알티_741_서울74사7931,765.65099880 
시내버스,진화운수_461_서울70사9593,765.50811529 
시내버스,한성운수_148_서울74사5402,765.23632742 
시내버스,한국비알티_140_서울71사1287,765.20166360 
시내버스,서울승합_340_서울74사5048,765.04956000 
시내버스,신인운수_571_서울74사5547,764.45599087 
시내버스,진화운수_461_서울70사8983,763.97943310 
시내버스,삼양교통_130_서울74사3228,763.90930451 
시내버스,서울승합_340_서울75사2055,762.22479343 
시내버스,서울승합_3318_서울74사2426,762.18554750 
시내버스,한남여객운수_501_서울74사3726,760.45409776 
시내버스,중부운수_603_서울70사7975,760.28155163 
시내버스,흥안운수_1224_서울74사3536,758.89776461 
